pk,iso,glottolog,name,latitude,longitude,branch,group,complex,language,prefecture,largearea,midarea,smallarea
1,tkn,toku1246,奄美語徳之島面縄方言,27.67,128.96,琉球,北琉球,奄美,奄美語,鹿児島県,徳之島,伊仙町,面縄集落
2,ryu,cent2126,沖縄語糸満方言,26.12,127.67,琉球,北琉球,沖縄,沖縄語,沖縄県,沖縄群島,旧糸満町,字糸満
3,mvi,miya1259,宮古語伊良部島長浜方言,24.81,125.2,琉球,南琉球,宮古,宮古語,沖縄県,宮古群島,伊良部島,長浜集落
4,jpn,yana1269,日本語福岡県柳川市方言,33.16,130.41,日本,九州,肥筑,日本語,福岡県,筑後地方,柳川市,
5,,,日本語甑島里方言,31.76,137.21,日本,,,日本語,鹿児島県,甑島列島,上甑島,里
6,,,富山市方言,36.7,137.21,日本,,,日本語,富山県,呉東,富山市,
7,,,日本語椎葉村尾前方言,32.495,131.072,日本,九州,,日本語,宮崎県,,椎葉村,尾前
8,,,日本語東京都世田谷区方言,35.646,139.65,日本,東日本,,日本語,東京都,東京（本土）,都区部,世田谷区
9,,,長崎県五島列島宇久島野方方言,32.47,131.19,日本,九州,,日本語,長崎県,五島列島,宇久島,野方
10,,,岩手県盛岡市,39.7,141.15,日本,東日本,東北,日本語,岩手県,岩手,盛岡市
11,,,茨城県水海道,36.03,139.99,日本,東日本,,日本語,茨城県,,水海道,
12,,,岐阜県大垣市赤垣方言,35.391,136.,日本,,,日本語,岐阜県,,大垣市,赤垣
13,,,長崎県佐世保市宇久町方言,33.266,129.13,日本,九州,,日本語,長崎県,五島列島,宇久島,宇久町
